,month,country,ncs,mau,orders
0,2023-10-01,AD,159,1732,3350
1,2023-10-01,AM,3648,19375,58952
2,2023-10-01,BA,4309,30035,75717
3,2023-10-01,BG,12395,110180,301769
4,2023-10-01,CI,7870,50529,172437
5,2023-10-01,ES,158994,1700492,4628155
6,2023-10-01,GE,19273,167675,566972
7,2023-10-01,GH,5471,29694,77348
8,2023-10-01,HR,11893,137333,337165
9,2023-10-01,IT,129826,903598,2039502
10,2023-10-01,KE,10183,59104,184721
11,2023-10-01,KG,12848,53523,145637
12,2023-10-01,KZ,28239,189449,513577
13,2023-10-01,MA,42267,326817,1306021
14,2023-10-01,MD,4634,25579,54824
15,2023-10-01,ME,2252,21459,77897
16,2023-10-01,NG,25626,88008,276803
17,2023-10-01,PL,77497,529582,1257486
18,2023-10-01,PT,36981,305271,852541
19,2023-10-01,RO,54949,571112,1800815
20,2023-10-01,RS,17120,147061,437704
21,2023-10-01,SI,2469,28877,58083
22,2023-10-01,TN,13350,55970,137117
23,2023-10-01,UA,57428,459799,1367761
24,2023-10-01,UG,4425,18494,40486
25,2023-09-01,AD,278,2018,4013
26,2023-09-01,AM,4568,22037,71599
27,2023-09-01,BA,5239,32743,88057
28,2023-09-01,BG,15081,120985,346126
29,2023-09-01,CI,9677,56051,201142
30,2023-09-01,ES,198931,1859635,5451798
31,2023-09-01,GE,22533,178108,649905
32,2023-09-01,GH,8204,35270,94583
33,2023-09-01,HR,13849,149285,393036
34,2023-09-01,IT,156159,1016988,2423674
35,2023-09-01,KE,13210,65932,219334
36,2023-09-01,KG,14328,57231,169982
37,2023-09-01,KZ,50140,224117,624105
38,2023-09-01,MA,51803,361069,1546613
39,2023-09-01,MD,5619,27965,63487
40,2023-09-01,ME,2987,24563,95592
41,2023-09-01,NG,28281,86187,271631
42,2023-09-01,PL,85023,563339,1433254
43,2023-09-01,PT,43811,338017,1029621
44,2023-09-01,RO,62753,618591,2071550
45,2023-09-01,RS,17871,158677,512741
46,2023-09-01,SI,2844,31104,65424
47,2023-09-01,TN,18034,64684,169017
48,2023-09-01,UA,67829,489308,1584669
49,2023-09-01,UG,5365,20474,48110
50,2023-08-01,AD,285,2017,4142
51,2023-08-01,AM,5312,22902,73605
52,2023-08-01,BA,6592,34300,91175
53,2023-08-01,BG,14680,113729,324617
54,2023-08-01,CI,12219,59057,205513
55,2023-08-01,ES,202663,1762605,5011810
56,2023-08-01,GE,22696,168598,609631
57,2023-08-01,GH,9234,38283,107262
58,2023-08-01,HR,16306,143465,366184
59,2023-08-01,IT,151794,889389,2009380
60,2023-08-01,KE,13556,65928,217883
61,2023-08-01,KG,14700,56633,169063
62,2023-08-01,KZ,47213,226289,650992
63,2023-08-01,MA,83915,409682,1699590
64,2023-08-01,MD,6054,28878,65698
65,2023-08-01,ME,4583,28543,105449
66,2023-08-01,NG,28008,76740,241422
67,2023-08-01,PL,87452,547553,1375454
68,2023-08-01,PT,48793,340424,1034425
69,2023-08-01,RO,67865,626554,2089429
70,2023-08-01,RS,18502,157891,510784
71,2023-08-01,SI,3304,33583,71534
72,2023-08-01,TN,20140,65332,176317
73,2023-08-01,UA,67327,481872,1578321
74,2023-08-01,UG,5093,19437,45750
75,2023-07-01,AD,236,2006,4279
76,2023-07-01,AM,4889,21370,66988
77,2023-07-01,BA,6532,33831,91065
78,2023-07-01,BG,13653,110992,317387
79,2023-07-01,CI,10638,56192,195878
80,2023-07-01,ES,205204,1870862,5531221
81,2023-07-01,GE,20531,166798,597129
82,2023-07-01,GH,9443,38506,106267
83,2023-07-01,HR,15164,143630,368340
84,2023-07-01,IT,155503,965767,2299870
85,2023-07-01,KE,12190,63238,211843
86,2023-07-01,KG,12793,50814,147257
87,2023-07-01,KZ,34476,212345,634057
88,2023-07-01,MA,77325,403149,1697220
89,2023-07-01,MD,5746,28633,66169
90,2023-07-01,ME,4223,27058,101368
91,2023-07-01,NG,20237,62927,196120
92,2023-07-01,PL,85744,549588,1380687
93,2023-07-01,PT,44710,337336,1031694
94,2023-07-01,RO,62430,641192,2094418
95,2023-07-01,RS,18802,158227,508649
96,2023-07-01,SI,3486,33020,69591
97,2023-07-01,TN,22067,63483,166369
98,2023-07-01,UA,64276,461346,1497576
99,2023-07-01,UG,4779,18165,41971
100,2023-06-01,AD,298,2165,4597
101,2023-06-01,AM,5387,21425,64351
102,2023-06-01,BA,4868,30878,84345
103,2023-06-01,BG,12118,112957,329492
104,2023-06-01,CI,9662,56741,201070
105,2023-06-01,ES,172375,1857415,5515712
106,2023-06-01,GE,16198,158269,579455
107,2023-06-01,GH,9043,37979,101315
108,2023-06-01,HR,12471,145993,378798
109,2023-06-01,IT,122398,909189,2174195
110,2023-06-01,KE,10211,59332,200265
111,2023-06-01,KG,10361,46256,131804
112,2023-06-01,KZ,27424,202252,604138
113,2023-06-01,MA,51183,357672,1549366
114,2023-06-01,MD,4465,26683,61172
115,2023-06-01,ME,2513,22863,89980
116,2023-06-01,NG,16496,56374,175735
117,2023-06-01,PL,78980,558877,1407940
118,2023-06-01,PT,37113,327292,1003512
119,2023-06-01,RO,49377,612562,2058579
120,2023-06-01,RS,13318,154389,509666
121,2023-06-01,SI,3067,34678,76187
122,2023-06-01,TN,14444,50490,128142
123,2023-06-01,UA,53644,440459,1438986
124,2023-06-01,UG,4001,16457,36828
125,2023-05-01,AD,309,2195,4867
126,2023-05-01,AM,4955,21256,64257
127,2023-05-01,BA,4654,30475,85101
128,2023-05-01,BG,13758,117651,352452
129,2023-05-01,CI,8906,53559,196542
130,2023-05-01,ES,171384,1853644,5633105
131,2023-05-01,GE,16359,153518,591178
132,2023-05-01,GH,9104,39395,109271
133,2023-05-01,HR,12745,149823,393470
134,2023-05-01,IT,124035,905420,2207983
135,2023-05-01,KE,10697,60520,207640
136,2023-05-01,KG,9928,44957,128776
137,2023-05-01,KZ,27232,198620,601743
138,2023-05-01,MA,54750,346575,1542068
139,2023-05-01,MD,4465,27068,63838
140,2023-05-01,ME,2383,22672,91219
141,2023-05-01,NG,18038,54789,165366
142,2023-05-01,PL,78744,542482,1375223
143,2023-05-01,PT,38120,326359,1013643
144,2023-05-01,RO,53092,625187,2171665
145,2023-05-01,RS,16288,158664,533123
146,2023-05-01,SI,3180,35597,79153
147,2023-05-01,TN,14440,47515,127560
148,2023-05-01,UA,56897,440280,1484896
149,2023-05-01,UG,4295,16772,36898
150,2023-04-01,AD,428,2439,5245
151,2023-04-01,AM,5154,21350,62598
152,2023-04-01,BA,4267,28368,77045
153,2023-04-01,BG,14275,115411,326853
154,2023-04-01,CI,9413,52041,180592
155,2023-04-01,ES,170996,1814510,5294300
156,2023-04-01,GE,18139,158452,590428
157,2023-04-01,GH,11808,44848,122410
158,2023-04-01,HR,12081,142021,360383
159,2023-04-01,IT,130231,896398,2099032
160,2023-04-01,KE,10757,59114,195890
161,2023-04-01,KG,9590,42674,116633
162,2023-04-01,KZ,27455,193073,557608
163,2023-04-01,MA,46732,287427,1085214
164,2023-04-01,MD,5037,27431,61758
165,2023-04-01,ME,2367,22057,88618
166,2023-04-01,NG,17154,49750,143158
167,2023-04-01,PL,76142,527809,1292065
168,2023-04-01,PR,0,5,9
169,2023-04-01,PT,35515,310722,926614
170,2023-04-01,RO,58717,631961,2043506
171,2023-04-01,RS,17295,158891,513129
172,2023-04-01,SI,2898,33493,71946
173,2023-04-01,TN,9321,32087,70103
174,2023-04-01,UA,61311,432701,1404171
175,2023-04-01,UG,4156,16104,34561
176,2023-03-01,AD,511,2461,5447
177,2023-03-01,AM,5210,21013,63251
178,2023-03-01,BA,4557,29117,82968
179,2023-03-01,BG,16452,120492,355042
180,2023-03-01,CI,10397,52836,187121
181,2023-03-01,ES,176218,1817962,5525633
182,2023-03-01,GE,20328,163221,631958
183,2023-03-01,GH,11570,43280,124287
184,2023-03-01,HR,11816,144581,389743
185,2023-03-01,IT,136852,914669,2232285
186,2023-03-01,KE,10868,59354,204702
187,2023-03-01,KG,10363,44802,126145
188,2023-03-01,KZ,31770,211824,622934
189,2023-03-01,MA,45816,300309,1244512
190,2023-03-01,MD,5335,28549,68080
191,2023-03-01,ME,2544,22503,95526
192,2023-03-01,NG,17310,47471,146589
193,2023-03-01,PL,91493,565847,1425655
194,2023-03-01,PR,0,1,1
195,2023-03-01,PT,38727,315993,960924
196,2023-03-01,RO,64932,661456,2325808
197,2023-03-01,RS,19340,166200,577116
198,2023-03-01,SI,3157,35927,83028
199,2023-03-01,TN,10402,35253,80111
200,2023-03-01,UA,62853,426496,1414690
201,2023-03-01,UG,4279,16028,34970
202,2023-02-01,AD,394,2136,4231
203,2023-02-01,AM,5475,20357,58215
204,2023-02-01,BA,4307,28222,76739
205,2023-02-01,BG,16036,114900,324542
206,2023-02-01,CI,8048,47226,161201
207,2023-02-01,ES,184208,1770616,5059590
208,2023-02-01,GE,21152,160008,584314
209,2023-02-01,GH,9920,37599,103772
210,2023-02-01,HR,11608,138739,353398
211,2023-02-01,IT,141292,902132,2099669
212,2023-02-01,KE,9529,53489,178342
213,2023-02-01,KG,10420,44110,121741
214,2023-02-01,KZ,33776,215041,625486
215,2023-02-01,MA,45939,298066,1243102
216,2023-02-01,MD,5470,27783,63290
217,2023-02-01,ME,2492,21557,86382
218,2023-02-01,NG,13763,38196,111385
219,2023-02-01,PL,97661,555960,1310756
220,2023-02-01,PR,0,6,11
221,2023-02-01,PT,40344,310105,894763
222,2023-02-01,RO,66808,648505,2129973
223,2023-02-01,RS,20847,165401,540213
224,2023-02-01,SI,3018,34559,75033
225,2023-02-01,TN,11934,35207,79532
226,2023-02-01,UA,60845,402938,1256484
227,2023-02-01,UG,3823,14692,30797
228,2023-01-01,AD,415,2160,4171
229,2023-01-01,AM,5118,18325,51892
230,2023-01-01,BA,5272,29401,77196
231,2023-01-01,BG,16197,113018,328588
232,2023-01-01,CI,9109,48850,168706
233,2023-01-01,ES,189343,1818719,5356768
234,2023-01-01,GE,24604,170078,611667
235,2023-01-01,GH,12077,40345,112317
236,2023-01-01,HR,13211,142350,364312
237,2023-01-01,IT,148858,918104,2184508
238,2023-01-01,KE,9906,53668,183359
239,2023-01-01,KG,12753,47062,129845
240,2023-01-01,KZ,39388,233456,666431
241,2023-01-01,MA,53994,307929,1343944
242,2023-01-01,MD,6183,28500,63684
243,2023-01-01,ME,2451,21165,82422
244,2023-01-01,NG,15830,38126,104647
245,2023-01-01,PL,110315,586789,1431055
246,2023-01-01,PR,0,1,2
247,2023-01-01,PT,45075,330427,1007053
248,2023-01-01,RO,76288,685660,2285861
249,2023-01-01,RS,25387,174499,572448
250,2023-01-01,SI,3298,36888,84769
251,2023-01-01,TN,13368,34404,77899
252,2023-01-01,UA,61192,389935,1203913
253,2023-01-01,UG,3391,13957,30187
